songname,tempo,beats,chromagram,rmse,centroid,bandwidth,rolloff,zcr,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,track genre_top
000002.mp3,166.70866940000002,101654,0.424068436,3.840279818,1842.291742,1748.5648469999999,3709.932382,0.098365979,-122.7122919,117.7594571,-42.33452983,38.06016761,-23.01158845,23.92040807,-11.94467964,13.687349900000001,-7.294478826000001,4.041208842,-4.8569595219999995,-1.6606589040000002,-6.305935174,-2.194977099,1.73174549,-0.433208645,6.396613123,-3.3035770230000003,1.283106123,-5.927920137,Hip-Hop
000005.mp3,99.38401442,62395,0.458492395,3.9698507789999997,1464.42623,1692.7732839999999,3177.796813,0.059331177,-162.23279159999998,131.4419795,-18.42792827,51.634280600000004,-15.44768138,23.86358038,-7.870181282000001,10.68801764,-0.314179472,12.86523078,-9.883410394,0.06615398,0.767911413,2.769322114,9.108165707000001,1.6411807369999998,8.163586776,-1.507865007,1.992396395,-4.972343008,Hip-Hop
000010.mp3,112.3471467,69655,0.431167446,5.140033245,1393.68316,1448.893684,2621.7467079999997,0.081014029,-75.41330959999999,154.5821615,-63.85126044,22.50205293,2.423199481,10.46847131,-13.00235344,9.824560737999999,-7.628614794,3.139505143,-5.858853504,0.555998896,-8.271975068,1.1421941709999999,-4.123352714,-0.333022207,-1.8083835469999998,-1.031969063,-4.863124217,0.7820435290000001,Pop
000140.mp3,107.6660156,65007,0.451242204,1.880175591,981.5436631000001,1472.838401,2160.525846,0.027261676000000002,-322.96736489999995,133.73525890000002,15.519148699999999,54.779888,8.721188898,37.03367774,-2.115129836,15.273971900000001,6.180766888,-2.594587254,8.868622969,-2.256208105,2.859273997,-6.686276803999999,-1.6539085569999998,-3.195722313,0.5465662960000001,-5.721709531,-0.830437878,-0.951447039,Folk
000141.mp3,103.359375,63695,0.330513467,2.7839231489999996,886.5503671,1188.1710640000001,1748.7721390000002,0.03412598,-253.2427227,157.8451604,-6.063018557,26.92091487,6.815399919,15.8479792,-12.93646235,10.36487195,-0.6170323520000001,-8.304269502,8.036045977999999,-5.566280176,2.9175580410000004,-6.008441114,-3.342394735,0.37720362399999996,0.030824432000000002,1.478393707,2.382078775,2.899815137,Folk
000148.mp3,112.3471467,41815,0.326078302,13.21699238,977.5640785,1286.3846199999998,1936.44543,0.045998665999999994,-56.33228182,177.9426437,-39.9909028,27.53063199,6.268089871,25.5612957,-0.272628476,6.702491563,4.641552155,8.385558277000001,0.509866101,5.845205207,1.5261881380000002,3.729843751,2.178073098,4.257284913,7.0751767139999995,7.862294753,1.9380944969999998,2.574796728,Experimental
000182.mp3,147.65625,85453,0.3800781,7.599321365,912.6660410000001,893.2858997000002,1912.47331,0.051519811,-109.799568,220.0017674,-82.34310479,31.68031829,1.7890645980000002,-22.89913217,25.87986374,2.623423185,2.484633062,14.991970000000002,7.680603591000001,5.321659846,10.864559199999999,11.50729882,3.471388745,7.106719322999999,6.655586453,-2.0407533190000002,0.930280488,2.027359957,Rock
000190.mp3,101.33272059999999,64131,0.313139616,3.63603878,1123.159667,1477.125886,2068.899327,0.048002486,-183.4453767,153.6091508,-36.40231644,26.380266499999998,-1.3002137520000001,2.861865162,-11.36494502,-13.55549522,-10.53260125,-11.02030495,-12.62238673,-7.394550441,-10.5796771,-9.768797481,-2.898822792,-8.987483026,-6.0271306220000005,-6.05313189,-10.03855983,-6.53343811,Folk
000193.mp3,99.38401442,57233,0.432122324,2.2841918469999998,899.2810743999999,1160.946502,1750.269122,0.04206802,-251.3582288,185.0369245,-41.54103062,27.35733489,4.4888188410000005,-2.692367537,-1.236001636,-5.754777516,-6.794865566,-6.489180207,-9.52711245,-6.561640033,-7.801142262999999,-6.795147151,-4.392901773999999,-5.058204725,-6.527506681,-8.234658451,-6.928315969,-5.565964319,Folk
000194.mp3,101.33272059999999,61839,0.39741902,2.641698599,822.4029572000001,1080.694958,1584.060724,0.037914803,-235.71742709999998,181.2872241,-38.31541296,26.1098455,1.251581333,0.9178480309999999,-2.635789388,-6.733257686,-3.362211691,-8.184129142,-9.515647352,-6.751593478999999,-7.96198166,-5.802085481000001,-1.9317037609999999,-8.689912599,-7.623161333,-5.240978269,-6.023584648,-5.457260371,Folk
000197.mp3,117.4538352,69855,0.376585254,1.247477889,619.4096587,957.6919680999999,1074.675299,0.027522459,-330.4364534,158.0397469,1.422629139,4.7512771460000005,9.747853045,-2.4691029469999997,-5.276080445,-6.035352583,-4.695351953,-6.058321556,-6.697938327999999,-5.671943934,-5.901401654,-6.487973316000001,-5.055316497,-4.2687047389999995,-8.415432897999999,-9.74475491,-5.84555912,-5.583322643,Folk
